"country","number_of_power_plants"
"United States of America","9833"
"China","4235"
"United Kingdom","2751"
"Brazil","2360"
"France","2155"
"India","1589"
"Germany","1309"
"Canada","1159"
"Spain","829"
"Russia","545"
"Japan","522"
"Australia","486"
"Portugal","469"
"Czech Republic","462"
"Italy","396"
"Chile","315"
"Norway","306"
"Mexico","277"
"Argentina","236"
"Vietnam","236"
"Thailand","196"
"Poland","189"
"Finland","185"
"Indonesia","178"
"Sweden","168"
"Switzerland","168"
"Turkey","163"
"South Korea","132"
"Philippines","123"
"Iran","107"
"South Africa","104"
"Austria","103"
"Greece","90"
"Saudi Arabia","90"
"Guatemala","76"
"Uruguay","73"
"Netherlands","71"
"Belgium","69"
"Romania","68"
"Ukraine","64"
"Pakistan","62"
"Egypt","62"
"Israel","59"
"Algeria","59"
"Ireland","59"
"Bangladesh","57"
"Malaysia","55"
"Sri Lanka","48"
"Denmark","47"
"Morocco","45"
"Bulgaria","43"
"Venezuela","43"
"New Zealand","43"
"Honduras","40"
"Taiwan","39"
"Myanmar","35"
"Jordan","33"
"Kazakhstan","33"
"Peru","32"
"North Korea","31"
"Slovakia","30"
"United Arab Emirates","30"
"Iraq","28"
"Costa Rica","27"
"Tunisia","27"
"Bolivia","26"
"Colombia","25"
"Belarus","24"
"Croatia","24"
"Kenya","23"
"Mauritius","23"
"Ecuador","22"
"Laos","20"
"Iceland","20"
"Bosnia and Herzegovina","20"
"Sudan","19"
"Georgia","19"
"Syrian Arab Republic","18"
"Hungary","18"
"Panama","17"
"Estonia","17"
"Nicaragua","16"
"El Salvador","16"
"Uzbekistan","16"
"Cambodia","16"
"Papua New Guinea","15"
"Zambia","15"
"Democratic Republic of the Congo","15"
"Dominican Republic","15"
"Azerbaijan","14"
"Singapore","14"
"Cuba","14"
"Nepal","14"
"Angola","14"
"Ethiopia","13"
"Namibia","13"
"Nigeria","13"
"Oman","12"
"Fiji","12"
"Serbia","12"
"Libya","12"
"Qatar","12"
"Macedonia","12"
"Madagascar","12"
"Rwanda","11"
"Uganda","11"
"Tanzania","11"
"Senegal","10"
"Jamaica","10"
"Tajikistan","10"
"Afghanistan","9"
"Guinea","9"
"Kuwait","9"
"Bahrain","8"
"Cameroon","8"
"Albania","8"
"Congo","8"
"Cote DIvoire","8"
"Slovenia","8"
"Kyrgyzstan","8"
"Armenia","8"
"Mongolia","8"
"Mauritania","7"
"Yemen","7"
"Niger","7"
"Lebanon","7"
"Burkina Faso","7"
"Turkmenistan","7"
"Moldova","6"
"Lithuania","6"
"Ghana","6"
"Gabon","6"
"French Guiana","6"
"Swaziland","6"
"Trinidad and Tobago","6"
"Bhutan","5"
"Malawi","5"
"Guyana","5"
"Latvia","5"
"Cape Verde","4"
"Brunei Darussalam","4"
"Burundi","4"
"Mali","4"
"Togo","3"
"Equatorial Guinea","3"
"Sierra Leone","3"
"Paraguay","3"
"Cyprus","3"
"Montenegro","3"
"Mozambique","3"
"Benin","2"
"Kosovo","2"
"Eritrea","2"
"Gambia","2"
"Antarctica","2"
"Liberia","2"
"Central African Republic","2"
"Zimbabwe","2"
"Luxembourg","2"
"Botswana","2"
"Saint Lucia","1"
"Western Sahara","1"
"Palestine","1"
"Suriname","1"
"Djibouti","1"
"Lesotho","1"
"Guinea-Bissau","1"
